subtopic,website,title,date,author,text,url
Louis Vuitton: Aνοίγει τις γαλλικές εγκαταστάσεις παραγωγής για να ξεκινήσει να φτιάχνει μάσκες
Κορωνοϊός: Ο οίκος Armani φτιάχνει στολές προστασίας για γιατρούς και νοσοκόμες
Ο όμιλος Capri δωρίζει τρία εκατομμύρια δολάρια για την αντιμετώπιση του κορωνοϊού
Η New World δωρίζει 10 εκατομμύρια μάσκες μέσω αυτόματων πωλητών
Κορωνοϊός: Ο οίκος Chanel αναστέλλει την παραγωγή και κλείνει εργοστάσια
Κορωνοϊός: Ο κόσμος της μόδας σε καραντίνα μετά τις εβδομάδες μόδας σε Παρίσι και Μιλάνο
Κορωνοϊός: Ακυρώνεται το φετινό ΜΕΤ Gala - Η Άννα Γουίντουρ έκανε την ανακοίνωση
subtopic,website,title,date,author,text,url
moda,www.cnn.gr,Κορωνοϊός: Ο οίκος Armani φτιάχνει στολές προστασίας για γιατρούς και νοσοκόμες,"21:08 Σάββατο, 28 Μαρτίου 2020","Newsroom, CNN Greece","Ο ιταλικόςοίκος μόδας  Armani ανακοίνωσε ότι  ταεργοστάσιά του  στην Ιταλίαθα αρχίσουν να παράγουν  στολές προστασίας  για το «ιατρικό προσωπικό που δίνει μάχη» εναντίον τηςπανδημίαςτου νέου κορωνοϊού . Οιδρυτής του οίκου, Τζόρτζιο Αρμάνι, έχει ήδη κάνει δωρεά ύψους 2 εκατομμυρίων ευρώ σε νοσοκομεία της χώρας, που έχουν κατακλυστεί από ασθενείς. Ο Αρμάνι δώρισε τα χρήματα σε  τρία νοσοκομεία στο Μιλάνο , σε νοσοκομείο της Ρώμης, καθώς επίσης και στην Υπηρεσία Πολιτικής Προστασίας, δήλωσε εκπρόσωπος της εταιρείας. Ο όμιλος είχε έσοδα 2,1 δισ. ευρώ το 2018 . Η πλειοψηφία των εργαζομένων στον όμιλο εργάζονται από το σπίτι και οι μονάδες παραγωγής λειτουργούν με όσο το δυνατόν λιγότερους εργαζόμενους. Το  κέντρο των επιχειρήσεων Armani βρίσκεται στο Μιλάνο, την πρωτεύουσα της περιφέρειας της Λομβαρδίας, που αποτελεί το επίκεντρο τηςπανδημίας στην Ιταλία. Ο οίκος Αρμάνι έχει  4 εργοστάσια στην Ιταλία , διευκρίνισε εκπρόσωπος Τύπου του οίκου.  Mr Armani's letter to health professionals honouring their hard work and commitment.  pic.twitter.com/8GhC0NEQJm March 22, 2020 Στη μάχη εναντίον της εξάπλωσης του κορωνοϊού έχουν ριχτεί και άλλοι μεγάλοι οίκοι μόδας , όχι με ακριβά και σινιέ αντικείμενα, αλλά κατασκευάζοντας είδη πρώτης ανάγκης , όπως χειρουργικές μάσκες και αντισηπτικά . Οι γαλλικοί οίκοι μόδας Saint Laurent και Balenciaga, αλλά και ο ιταλικός οίκος Gucci θα αρχίσουν να κατασκευάζουν μάσκες προκειμένου να καλύψουν την έλλειψη μεσούσης της εξάπλωσης της πανδημίας του κορωνοϊού , όπως ανακοίνωσε ο όμιλος Kering. «Τα γαλλικά ατελιέ των οίκων Balenciaga και Yves Saint Laurent ετοιμάζονται για την κατασκευή μασκών , βάσει των πιο αυστηρών μέτρων υγειονομικής προστασίας για τους συνεργάτες τους, μόλις οι διαδικασίες παραγωγής και τα υλικά θα εγκριθούν από τις αρμόδιες αρχές », ανακοίνωσε ο όμιλος ειδών πολυτελείας Kering στον οποίο ανήκουν οι δύο οίκοι. Εν αναμονή της έναρξης της παραγωγής, ο Kering θα στείλει «εντός των προσεχών ημερών» στις γαλλικές υπηρεσίες υγείας τρία εκατομμύρια χειρουργικές μάσκες που ο όμιλος θα προμηθευτεί στην Κίνα και θα φροντίσει για τη μεταφορά τους στη Γαλλία , σύμφωνα με την ανακοίνωση. Από την πλευρά του, ο οίκος Gucci , ιταλική θυγατρική του ομίλου Kering, δεσμεύτηκε να κατασκευάσει 1,1 εκατομμύριο χειρουργικές μάσκες και 55.000 μπλούζες για το νοσηλευτικό προσωπικό στην Ιταλία, την πλέον πληγείσα χώρα από την πανδημία. Επίσης, ο όμιλος Kering έκανε μια μεγάλη οικονομική δωρεά , χωρίς να αναφέρει το ποσό, στο ινστιτούτο Παστέρ για να στηρίξει την έρευνα για τον SARS-Cov-2. O μεγαλύτερος ανταγωνιστής του ομίλου Kering, ο όμιλος ειδών πολυτελείας LVMH άρχισε πριν από μια εβδομάδα την παρασκευή «μεγάλης ποσότητας» υδροαλκοολικού τζελ για τα νοσοκομεία σε τρείς από τις εγκαταστάσεις παραγωγής του στη Γαλλία, όπου συνήθως παρασκευάζει τα αρώματα και τα καλλυντικά του (για τους οίκους Dior, Guerlain και Givenchy ).  Διαβάστε επίσης Κορωνοϊός: Ο κόσμος της μόδας στην πρώτη γραμμή της μάχης κατά της πανδημίας Η νέα καμπάνια του οίκου Gucci, αφιερωμένη στον... κορωνοϊό Η New World δωρίζει 10 εκατομμύρια μάσκες μέσω αυτόματων πωλητών",https://www.cnn.gr/style/moda/story/212983/koronoios-o-oikos-armani-ftiaxnei-stoles-prostasias-gia-giatroys-kai-nosokomes
moda,www.cnn.gr,Η New World δωρίζει 10 εκατομμύρια μάσκες μέσω αυτόματων πωλητών,"16:54 Παρασκευή, 10 Απριλίου 2020","Newsroom, CNN Greece","Η πρωτοβουλία του  Andrian   Cheng  θα οδηγήσει στην  εγκατάσταση 35 αυτόματων πωλητών  στο  Χονγκ Κονγκ   μέχρι το τέλος του μήνα. ΟAndrian ChengτηςNew World Development ανακοίνωσε μία νέα πρωτοβουλία για να βοηθήσει στη μάχη κατά του κορωνοιού: Τη  δωρεά 10 εκατομμυρίων ιατρικών μασκών  που θα διανεμηθούν μέσω αυτόματων πωλητών. Σχεδιασμένοι να τεθούν σε λειτουργία μέχρι το τέλος του μήνα,  35 αυτόματοι πωλητές  θα εγκατασταθούν με τη συνδρομή Μη Κυβερνητικών Οργανώσεων και στις  18 συνοικίες  του Χονγκ Κονγκ, προσφέροντας έναν ασφαλή και υγιεινό τρόπο διανομής προμηθειών σε όσους έχουν ανάγκη.  Περισσότεροι από 40.000 άνθρωποι σε κοινότητες  χαμηλού εισοδήματος σε όλο το Χονγκ Κονγκ αναμένεται να επωφεληθούν. Η κίνηση αυτή έρχεται σαν συνέχεια προηγούμενης  δωρεάς 50.000.000 γουάν της εταιρείας και 5.500.000 μασκών  σε κοινότητες στην Ασία και την Ευρώπη υπό την καμπάνια «Αγάπη Χωρίς Σύνορα». «Καθώς ο αριθμός κρουσμάτων του COVID-19 συνεχίζει να αυξάνεται παγκοσμίως, το Χονγκ Κονγκ βρίσκεται αντιμέτωπο με ένα δεύτερο κύμα τόσο εισαγόμενων όσο και τοπικά μεταδιδόμενων κρουσμάτων», δήλωσε ο Τσενγκ. Πρόσθεσε επίσης: «Είναι οδυνηρό να βλέπεις τόσους πολλούς ανθρώπους να υποφέρουν, επειδή απλά δεν μπορούν να αντέξουν οικονομικά την αγορά ενός σετ μασκών, οι οποίες έχουν γίνει πολύ δαπανηρές και σπάνιες. Κάποιες μη προνομιούχες ομάδες ανθρώπων, χρειάστηκε να χρησιμοποιήσουν επανειλημμένα την ίδια μάσκα. Διασφαλίζοντας τη σταθερή παροχή ιατρικών μασκών και τη διανομή τους μέσω των αυτόματων πωλητών, εξασφαλίζουμε έναν υγιή και ασφαλή τρόπο για να φτάσουν οι μάσκες στα χέρια αυτών που τις χρειάζονται περισσότερο». Οι  οκτώ επιλεγμένες ΜΚΟ  θα παρέχουν είτε κάρτες εξαργύρωσης ιατρικών μασκών ή μια εφαρμογή που είναι προσβάσιμη από φορητές συσκευές (κινητά, tablet) ώστε να προεγγράφονται οικογένειες με χαμηλό εισόδημα ή κοινότητες με μεγάλες ανάγκες.Αυτοί οι πολίτες μπορούν στη συνέχεια να λαμβάνουν ένα πακέτο πέντε μασκών κάθε εβδομάδαδωρεάν για 10 συνεχόμενες εβδομάδες κατά τις ώρες λειτουργίας των κέντρων. Οι κάρτες εξαργύρωσης και η εφαρμογή για συσκευές θα χρησιμοποιηθούν για την εξάλειψη της αναμονής των πολιτών, ανέφερε η εταιρεία. Το παράρτημα της εταιρείας στο Χονγκ Κονγκ ανακοίνωσε ότι δημιούργησε  δύο τοπικές γραμμές   παραγωγής   μασκών  οι οποίες θα ξεκινήσουν στα μέσα του Απριλίου 2020 και άλλες δύο θα ξεκινήσουν τον Μάιο. Η εταιρεία αναμένεται να παράγει περισσότερες από 7 εκατομμύρια μάσκες το μήνα όταν όλες οι γραμμές παραγωγής τεθούν σε λειτουργία. Διαβάστε επίσης Κορωνοϊός: Ο κόσμος της μόδας στην πρώτη γραμμή της μάχης κατά της πανδημίας Η νέα καμπάνια του οίκου Gucci, αφιερωμένη στον... κορωνοϊό Louis Vuitton: Aνοίγει τις γαλλικές εγκαταστάσεις παραγωγής για να ξεκινήσει να φτιάχνει μάσκες",https://www.cnn.gr/style/moda/story/214781/h-new-world-dorizei-10-ekatommyria-maskes-meso-aytomaton-politon
